version,buffer_bounds,img_augment,distance_mode,log_dist,num_1_factor,num_1_point95,norm_from_train,val_frac,val_metric,model_name,accept_midinput,MDL_Unet++_decoder_attention_type,MDL_Unet++_encoder_name,batch_size,loss,LS_focal_alpha,lr,scheduler,LR_StepLR_step_size,LR_StepLR_gamma,LR_CosineAnnealingWarmRestarts_T_0,LR_Warmup_milestone,LR_CosineAnnealingLR_T_max,LR_CosineAnnealingLR_eta_min,optimizer,OPT_AdamW_weight_decay,max_epochs,early_stop_patience,version_run,test-set,trainings_per_test,eval_conn_version
106,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]",20,23
107,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,"[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",1,26
108,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,"[75, 76, 77, 78, 79]",1,27
109,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,"[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94]",1,29
110,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
111,"(3,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
112,"(4,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
113,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
114,"(3,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
115,"(2,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
116,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,False,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[82],20,29
